Locus_plate	Col	Row	F_R	Loc	Plate	Forward_P	Reverse_P
DAB-H	12	C	F19-R24	DAB	H	F19	R24
DAB-H	1	D	F20-R13	DAB	H	F20	R13
DAB-H	2	D	F20-R14	DAB	H	F20	R14
DAB-H	3	D	F20-R15	DAB	H	F20	R15
DAB-H	4	D	F20-R16	DAB	H	F20	R16
DAB-H	5	D	F20-R17	DAB	H	F20	R17
DAB-H	6	D	F20-R18	DAB	H	F20	R18
DAB-H	7	D	F20-R19	DAB	H	F20	R19
DAB-H	8	D	F20-R20	DAB	H	F20	R20
DAB-H	9	D	F20-R21	DAB	H	F20	R21
DAB-H	10	D	F20-R22	DAB	H	F20	R22
DAB-H	11	D	F20-R23	DAB	H	F20	R23
DAB-H	12	D	F20-R24	DAB	H	F20	R24
DAB-H	1	E	F21-R13	DAB	H	F21	R13
DAB-H	2	E	F21-R14	DAB	H	F21	R14
DAB-H	3	E	F21-R15	DAB	H	F21	R15
DAB-H	4	E	F21-R16	DAB	H	F21	R16
DAB-H	5	E	F21-R17	DAB	H	F21	R17
DAB-H	6	E	F21-R18	DAB	H	F21	R18
DAB-H	7	E	F21-R19	DAB	H	F21	R19
DAB-H	8	E	F21-R20	DAB	H	F21	R20
DAB-H	9	E	F21-R21	DAB	H	F21	R21
DAB-H	10	E	F21-R22	DAB	H	F21	R22
DAB-H	11	E	F21-R23	DAB	H	F21	R23
DAB-H	12	E	F21-R24	DAB	H	F21	R24
DAB-H	1	F	F22-R13	DAB	H	F22	R13
DAB-H	2	F	F22-R14	DAB	H	F22	R14
DAB-H	3	F	F22-R15	DAB	H	F22	R15
DAB-H	4	F	F22-R16	DAB	H	F22	R16
DAB-H	5	F	F22-R17	DAB	H	F22	R17
DAB-H	6	F	F22-R18	DAB	H	F22	R18
DAB-H	7	F	F22-R19	DAB	H	F22	R19
DAB-H	8	F	F22-R20	DAB	H	F22	R20
DAB-H	9	F	F22-R21	DAB	H	F22	R21
DAB-H	10	F	F22-R22	DAB	H	F22	R22
DAB-H	11	F	F22-R23	DAB	H	F22	R23
DAB-H	12	F	F22-R24	DAB	H	F22	R24
DAB-H	1	G	F23-R13	DAB	H	F23	R13
DAB-H	2	G	F23-R14	DAB	H	F23	R14
DAB-H	3	G	F23-R15	DAB	H	F23	R15
DAB-H	4	G	F23-R16	DAB	H	F23	R16
DAB-H	5	G	F23-R17	DAB	H	F23	R17
DAB-H	6	G	F23-R18	DAB	H	F23	R18
DAB-H	7	G	F23-R19	DAB	H	F23	R19
DAB-H	8	G	F23-R20	DAB	H	F23	R20
DAB-H	9	G	F23-R21	DAB	H	F23	R21
DAB-H	10	G	F23-R22	DAB	H	F23	R22
DAB-H	11	G	F23-R23	DAB	H	F23	R23
DAB-H	12	G	F23-R24	DAB	H	F23	R24
DAB-H	1	H	F24-R13	DAB	H	F24	R13
DAB-H	2	H	F24-R14	DAB	H	F24	R14
DAB-H	3	H	F24-R15	DAB	H	F24	R15
DAB-H	4	H	F24-R16	DAB	H	F24	R16
DAB-H	5	H	F24-R17	DAB	H	F24	R17
DAB-H	6	H	F24-R18	DAB	H	F24	R18
DAB-H	7	H	F24-R19	DAB	H	F24	R19
DAB-H	8	H	F24-R20	DAB	H	F24	R20
DAB-H	9	H	F24-R21	DAB	H	F24	R21
DAB-H	10	H	F24-R22	DAB	H	F24	R22
DAB-H	11	H	F24-R23	DAB	H	F24	R23
DAB-H	12	H	F24-R24	DAB	H	F24	R24
DAB-G	1	A	F17-R1	DAB	G	F17	R1
DAB-G	2	A	F17-R2	DAB	G	F17	R2
DAB-G	3	A	F17-R3	DAB	G	F17	R3
DAB-G	4	A	F17-R4	DAB	G	F17	R4
DAB-G	5	A	F17-R5	DAB	G	F17	R5
DAB-G	6	A	F17-R6	DAB	G	F17	R6
DAB-G	7	A	F17-R7	DAB	G	F17	R7
DAB-G	8	A	F17-R8	DAB	G	F17	R8
DAB-G	9	A	F17-R9	DAB	G	F17	R9
DAB-G	10	A	F17-R10	DAB	G	F17	R10
DAB-G	11	A	F17-R11	DAB	G	F17	R11
DAB-G	12	A	F17-R12	DAB	G	F17	R12
DAB-G	1	B	F18-R1	DAB	G	F18	R1
DAB-G	2	B	F18-R2	DAB	G	F18	R2
DAB-G	3	B	F18-R3	DAB	G	F18	R3
DAB-G	4	B	F18-R4	DAB	G	F18	R4
DAB-G	5	B	F18-R5	DAB	G	F18	R5
DAB-G	6	B	F18-R6	DAB	G	F18	R6
DAB-G	7	B	F18-R7	DAB	G	F18	R7
DAB-G	8	B	F18-R8	DAB	G	F18	R8
DAB-G	9	B	F18-R9	DAB	G	F18	R9
DAB-G	10	B	F18-R10	DAB	G	F18	R10
DAB-G	11	B	F18-R11	DAB	G	F18	R11
DAB-G	12	B	F18-R12	DAB	G	F18	R12
DAB-G	1	C	F19-R1	DAB	G	F19	R1
DAB-G	2	C	F19-R2	DAB	G	F19	R2
DAB-G	3	C	F19-R3	DAB	G	F19	R3
DAB-G	4	C	F19-R4	DAB	G	F19	R4
DAB-G	5	C	F19-R5	DAB	G	F19	R5
DAB-G	6	C	F19-R6	DAB	G	F19	R6
DAB-G	7	C	F19-R7	DAB	G	F19	R7
DAB-G	8	C	F19-R8	DAB	G	F19	R8
DAB-G	9	C	F19-R9	DAB	G	F19	R9
DAB-G	10	C	F19-R10	DAB	G	F19	R10
DAB-G	11	C	F19-R11	DAB	G	F19	R11
DAB-G	12	C	F19-R12	DAB	G	F19	R12
DAB-G	1	D	F20-R1	DAB	G	F20	R1
DAB-G	2	D	F20-R2	DAB	G	F20	R2
DAB-G	3	D	F20-R3	DAB	G	F20	R3
DAB-G	4	D	F20-R4	DAB	G	F20	R4
DAB-G	5	D	F20-R5	DAB	G	F20	R5
DAB-G	6	D	F20-R6	DAB	G	F20	R6
DAB-G	7	D	F20-R7	DAB	G	F20	R7
DAB-G	8	D	F20-R8	DAB	G	F20	R8
DAB-G	9	D	F20-R9	DAB	G	F20	R9
DAB-G	10	D	F20-R10	DAB	G	F20	R10
DAB-G	11	D	F20-R11	DAB	G	F20	R11
DAB-G	12	D	F20-R12	DAB	G	F20	R12
DAB-G	1	E	F21-R1	DAB	G	F21	R1
DAB-G	2	E	F21-R2	DAB	G	F21	R2
DAB-G	3	E	F21-R3	DAB	G	F21	R3
DAB-G	4	E	F21-R4	DAB	G	F21	R4
DAB-G	5	E	F21-R5	DAB	G	F21	R5
DAB-G	6	E	F21-R6	DAB	G	F21	R6
DAB-G	7	E	F21-R7	DAB	G	F21	R7
DAB-G	8	E	F21-R8	DAB	G	F21	R8
DAB-G	9	E	F21-R9	DAB	G	F21	R9
DAB-G	10	E	F21-R10	DAB	G	F21	R10
DAB-G	11	E	F21-R11	DAB	G	F21	R11
DAB-G	12	E	F21-R12	DAB	G	F21	R12
DAB-G	1	F	F22-R1	DAB	G	F22	R1
DAB-G	2	F	F22-R2	DAB	G	F22	R2
